CODE,NAME,DISEASE,BASE_ANTIGEN,INTRO_YEAR,CASES_BEFORE,CASES_AFTER,ABS_CHANGE,PCT_CHANGE
ERI,Eritrea,POLIO,IPV2_FRAC,2018.0,3.7916666666666665,0.4,-3.3916666666666666,-89.45054945054946
ESP,Spain,POLIO,IPV1,2014.0,3.0,0.0,-3.0,-100.0
ESP,Spain,POLIO,IPV1_FRAC,2018.0,2.6842105263157894,0.0,-2.6842105263157894,-100.0
ESP,Spain,POLIO,IPV2_FRAC,2018.0,2.6842105263157894,0.0,-2.6842105263157894,-100.0
EST,Estonia,POLIO,IPV1,2014.0,0.0,0.0,0.0,
EST,Estonia,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
EST,Estonia,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
ETH,Ethiopia,POLIO,IPV1,2014.0,90.38235294117646,6.3,-84.08235294117647,-93.02961275626423
ETH,Ethiopia,POLIO,IPV1_FRAC,2018.0,80.89473684210526,10.333333333333334,-70.56140350877193,-87.2261982216439
ETH,Ethiopia,POLIO,IPV2,2021.0,76.1951219512195,4.0,-72.1951219512195,-94.75032010243278
ETH,Ethiopia,POLIO,IPV2_FRAC,2018.0,80.89473684210526,10.333333333333334,-70.56140350877193,-87.2261982216439
